	Manipulation	d ecrasement	Filename	cristallisation_sel_2025-20-06bis.dat	Date	20/6/2025	Time	16:56:53 s	Remarque	ecrasement de  .... d'une epaisseur de 	TempsEntreMesure	60.000 s	TempsRelaxation	0.000 s	CourseTotal	0.000 mm	NbrEcrasement	0



Temps(s)	Position(mm)	Force(g)	Mouvement(0 ou 1)	Résistance(ohm)
38850.051	0.000	2.880	0	0.000
38910.055	0.000	2.881	0	0.000
38970.075	0.000	2.890	0	0.000
39030.069	0.000	2.890	0	0.000
39090.068	0.000	2.896	0	0.000
39150.048	0.000	2.900	0	0.000
39210.028	0.000	2.904	0	0.000
39270.042	0.000	2.917	0	0.000
39330.052	0.000	2.920	0	0.000
39390.041	0.000	2.924	0	0.000
39450.031	0.000	2.930	0	0.000
39510.055	0.000	2.938	0	0.000
39570.070	0.000	2.940	0	0.000
39630.059	0.000	2.943	0	0.000
39690.049	0.000	2.950	0	0.000
39750.033	0.000	2.950	0	0.000
39810.053	0.000	2.951	0	0.000
39870.067	0.000	2.960	0	0.000
39930.066	0.000	2.968	0	0.000
39990.081	0.000	2.970	0	0.000
40050.080	0.000	2.973	0	0.000
40110.075	0.000	2.980	0	0.000
40170.079	0.000	2.989	0	0.000
40230.054	0.000	2.990	0	0.000
40290.038	0.000	2.991	0	0.000
40350.058	0.000	3.000	0	0.000
40410.042	0.000	3.010	0	0.000
40470.052	0.000	3.020	0	0.000
40530.071	0.000	3.020	0	0.000
40590.046	0.000	3.025	0	0.000
40650.030	0.000	3.032	0	0.000
